,0,1,2,3
0,WI55041,100.0,Donald Trump,2787
1,WI55041,100.0,Hillary Clinton,1583
2,WI55043,100.0,Donald Trump,12347
3,WI55043,100.0,Hillary Clinton,10047
4,WI55045,100.0,Hillary Clinton,9121
5,WI55045,100.0,Donald Trump,8693
6,WI55047,100.0,Donald Trump,6210
7,WI55047,100.0,Hillary Clinton,2700
8,TX48499,100.0,Donald Trump,15681
9,TX48499,100.0,Hillary Clinton,2624
10,WI55049,100.0,Hillary Clinton,6669
11,WI55049,100.0,Donald Trump,4809
12,OK40149,100.0,Donald Trump,3851
13,OK40149,100.0,Hillary Clinton,588
14,IN18119,100.0,Donald Trump,6151
15,IN18119,100.0,Hillary Clinton,1946
16,IN18113,100.0,Donald Trump,12198
17,IN18113,100.0,Hillary Clinton,3904
18,IN18111,100.0,Donald Trump,4074
19,IN18111,100.0,Hillary Clinton,1403
20,IN18117,100.0,Donald Trump,5800
21,IN18117,100.0,Hillary Clinton,2048
22,IN18115,100.0,Donald Trump,2118
23,IN18115,100.0,Hillary Clinton,686
24,TX48403,100.0,Donald Trump,3992
25,TX48403,100.0,Hillary Clinton,614
26,GA13217,100.0,Hillary Clinton,21936
27,GA13217,100.0,Donald Trump,20907
28,TX48401,100.0,Donald Trump,14675
29,TX48401,100.0,Hillary Clinton,3935
30,GA13215,100.0,Hillary Clinton,39602
31,GA13215,100.0,Donald Trump,26901
32,TX48407,100.0,Donald Trump,8050
33,TX48407,100.0,Hillary Clinton,2034
34,GA13213,100.0,Donald Trump,10340
35,GA13213,100.0,Hillary Clinton,1799
36,TX48405,100.0,Donald Trump,2620
37,TX48405,100.0,Hillary Clinton,907
38,GA13211,100.0,Donald Trump,6559
39,GA13211,100.0,Hillary Clinton,2658
40,MI26075,100.0,Donald Trump,39793
41,MI26075,100.0,Hillary Clinton,25795
42,TX48409,100.0,Donald Trump,13004
43,TX48409,100.0,Hillary Clinton,7825
44,MI26077,100.0,Hillary Clinton,67142
45,MI26077,100.0,Donald Trump,51031
46,MI26071,100.0,Donald Trump,3675
47,MI26071,100.0,Hillary Clinton,2004
48,GA13219,100.0,Donald Trump,12885
49,GA13219,100.0,Hillary Clinton,5253
50,OH39101,100.0,Donald Trump,16563
51,OH39101,100.0,Hillary Clinton,7748
52,OH39103,100.0,Donald Trump,53811
53,OH39103,100.0,Hillary Clinton,31582
54,TX48493,100.0,Donald Trump,13991
55,TX48493,100.0,Hillary Clinton,4790
56,GA13143,100.0,Donald Trump,9579
57,GA13143,100.0,Hillary Clinton,1474
58,OH39107,100.0,Donald Trump,17200
59,OH39107,100.0,Hillary Clinton,3335
60,GA13079,100.0,Donald Trump,3632
61,GA13079,100.0,Hillary Clinton,1419
62,OH39109,100.0,Donald Trump,36311
63,OH39109,100.0,Hillary Clinton,12832
64,GA13077,100.0,Donald Trump,42513
65,GA13077,100.0,Hillary Clinton,16572
66,TN47077,100.0,Donald Trump,8118
67,TN47077,100.0,Hillary Clinton,1796
68,GA13075,100.0,Donald Trump,4175
69,GA13075,100.0,Hillary Clinton,1752
70,TN47071,100.0,Donald Trump,8012
71,TN47071,100.0,Hillary Clinton,1622
72,GA13073,100.0,Donald Trump,43060
73,GA13073,100.0,Hillary Clinton,18863
74,TN47073,100.0,Donald Trump,16611
75,TN47073,100.0,Hillary Clinton,3502
76,GA13071,100.0,Donald Trump,9892
77,GA13071,100.0,Hillary Clinton,3460
78,IN18027,100.0,Donald Trump,8545
79,IN18027,100.0,Hillary Clinton,1800
80,CO08057,100.0,Donald Trump,628
81,CO08057,100.0,Hillary Clinton,171
82,IN18025,100.0,Donald Trump,3013
83,IN18025,100.0,Hillary Clinton,1323
84,CO08055,100.0,Donald Trump,1875
85,CO08055,100.0,Hillary Clinton,1631
86,IN18023,100.0,Donald Trump,8530
87,IN18023,100.0,Hillary Clinton,2819
88,CO08053,100.0,Donald Trump,339
89,CO08053,100.0,Hillary Clinton,197
90,IN18021,100.0,Donald Trump,8528
91,IN18021,100.0,Hillary Clinton,2306
92,CO08051,100.0,Hillary Clinton,5068
93,CO08051,100.0,Donald Trump,3250
94,MT30075,100.0,Donald Trump,880
95,MT30075,100.0,Hillary Clinton,127
96,MT30077,100.0,Donald Trump,2017
97,MT30077,100.0,Hillary Clinton,549
98,MT30071,100.0,Donald Trump,1715
99,MT30071,100.0,Hillary Clinton,315
100,IN18029,100.0,Donald Trump,18110
101,IN18029,100.0,Hillary Clinton,4883
102,CO08059,100.0,Hillary Clinton,151885
103,CO08059,100.0,Donald Trump,130233
104,SD46059,100.0,Donald Trump,1391
105,SD46059,100.0,Hillary Clinton,334
106,OH39035,100.0,Hillary Clinton,383974
107,OH39035,100.0,Donald Trump,179894
108,GA13103,100.0,Donald Trump,17865
109,GA13103,100.0,Hillary Clinton,4851
110,OH39037,100.0,Donald Trump,19698
111,OH39037,100.0,Hillary Clinton,4395
112,GA13101,100.0,Donald Trump,1006
113,GA13101,100.0,Hillary Clinton,156
114,OH39031,100.0,Donald Trump,10381
115,OH39031,100.0,Hillary Clinton,3908
116,GA13107,100.0,Donald Trump,5330
117,GA13107,100.0,Hillary Clinton,2433
118,OH39033,100.0,Donald Trump,13265
119,OH39033,100.0,Hillary Clinton,4518
120,GA13105,100.0,Donald Trump,5269
121,GA13105,100.0,Hillary Clinton,2507
122,TX48317,100.0,Donald Trump,1453
123,TX48317,100.0,Hillary Clinton,266
124,TX48315,100.0,Donald Trump,2968
125,TX48315,100.0,Hillary Clinton,1156
126,GA13109,100.0,Donald Trump,2404
127,GA13109,100.0,Hillary Clinton,1130
128,OH39039,100.0,Donald Trump,11478
129,OH39039,100.0,Hillary Clinton,5282
130,TX48311,100.0,Donald Trump,454
131,TX48311,100.0,Hillary Clinton,40
132,VA51630,100.0,Hillary Clinton,6690
133,VA51630,100.0,Donald Trump,3731
134,TX48137,100.0,Donald Trump,741
135,TX48137,100.0,Hillary Clinton,302
136,TX48135,100.0,Donald Trump,24976
137,TX48135,100.0,Hillary Clinton,10225
138,TX48133,100.0,Donald Trump,6008
139,TX48133,100.0,Hillary Clinton,776
140,TX48131,100.0,Hillary Clinton,2783
141,TX48131,100.0,Donald Trump,1316
142,TX48139,100.0,Donald Trump,44807
143,TX48139,100.0,Hillary Clinton,16197
144,NY36051,100.0,Donald Trump,19211
145,NY36051,100.0,Hillary Clinton,10478
146,NY36053,100.0,Donald Trump,14901
147,NY36053,100.0,Hillary Clinton,10548
148,NY36055,100.0,Hillary Clinton,174063
149,NY36055,100.0,Donald Trump,128871
150,NY36057,100.0,Donald Trump,10579
151,NY36057,100.0,Hillary Clinton,5961
152,NY36059,100.0,Hillary Clinton,307326
153,NY36059,100.0,Donald Trump,275479
154,WY56013,100.0,Donald Trump,11167
155,WY56013,100.0,Hillary Clinton,4200
156,SC45079,100.0,Hillary Clinton,108401
157,SC45079,100.0,Donald Trump,52753
158,WY56017,100.0,Donald Trump,1939
159,WY56017,100.0,Hillary Clinton,400
160,WY56015,100.0,Donald Trump,4418
161,WY56015,100.0,Hillary Clinton,924
162,SC45073,100.0,Donald Trump,24096
163,SC45073,100.0,Hillary Clinton,7979
164,SC45071,100.0,Donald Trump,10011
165,SC45071,100.0,Hillary Clinton,6212
166,SC45077,100.0,Donald Trump,36096
167,SC45077,100.0,Hillary Clinton,10327
168,VA51051,100.0,Donald Trump,4932
169,VA51051,100.0,Hillary Clinton,1335
170,SC45075,100.0,Hillary Clinton,26258
171,SC45075,100.0,Donald Trump,11909
172,SD46031,100.0,Donald Trump,588
173,SD46031,100.0,Hillary Clinton,535
174,TXTX,99.96,Donald Trump,4681590
175,TXTX,99.96,Hillary Clinton,3867816
176,LA22079,100.0,Donald Trump,36814
177,LA22079,100.0,Hillary Clinton,18318
178,SD46039,100.0,Donald Trump,1366
179,SD46039,100.0,Hillary Clinton,570
180,IL17189,100.0,Donald Trump,5566
181,IL17189,100.0,Hillary Clinton,1446
182,LA22071,100.0,Hillary Clinton,133833
183,LA22071,100.0,Donald Trump,24267
184,IL17185,100.0,Donald Trump,4039
185,IL17185,100.0,Hillary Clinton,1146
186,IL17183,100.0,Donald Trump,18582
187,IL17183,100.0,Hillary Clinton,9876
188,LA22077,100.0,Donald Trump,6789
189,LA22077,100.0,Hillary Clinton,4764
190,MT30105,100.0,Donald Trump,2697
191,MT30105,100.0,Hillary Clinton,886
192,MT30107,100.0,Donald Trump,698
193,MT30107,100.0,Hillary Clinton,179
194,MT30101,100.0,Donald Trump,1495
195,MT30101,100.0,Hillary Clinton,399
196,MT30103,100.0,Donald Trump,350
197,MT30103,100.0,Hillary Clinton,59
198,VT50023,100.0,Hillary Clinton,18594
199,VT50023,100.0,Donald Trump,7993
200,VA51109,100.0,Donald Trump,10507
201,VA51109,100.0,Hillary Clinton,6208
202,MT30109,100.0,Donald Trump,460
203,MT30109,100.0,Hillary Clinton,55
204,MI26079,100.0,Donald Trump,6213
205,MI26079,100.0,Hillary Clinton,2279
206,TN47097,100.0,Donald Trump,4884
207,TN47097,100.0,Hillary Clinton,3656
208,NC37003,100.0,Donald Trump,13826
209,NC37003,100.0,Hillary Clinton,3750
210,PA42065,100.0,Donald Trump,14533
211,PA42065,100.0,Hillary Clinton,3437
212,NC37001,100.0,Donald Trump,38235
213,NC37001,100.0,Hillary Clinton,29268
214,TN47093,100.0,Donald Trump,105724
215,TN47093,100.0,Hillary Clinton,62861
216,NC37007,100.0,Hillary Clinton,5785
217,NC37007,100.0,Donald Trump,4480
218,TN47091,100.0,Donald Trump,5400
219,TN47091,100.0,Hillary Clinton,988
220,NC37005,100.0,Donald Trump,3789
221,NC37005,100.0,Hillary Clinton,1300
222,NC37009,100.0,Donald Trump,9353
223,NC37009,100.0,Hillary Clinton,3476
224,TN47099,100.0,Donald Trump,12419
225,TN47099,100.0,Hillary Clinton,2821
226,NE31037,100.0,Donald Trump,2171
227,NE31037,100.0,Hillary Clinton,857
228,NE31035,100.0,Donald Trump,2373
229,NE31035,100.0,Hillary Clinton,470
230,NE31033,100.0,Donald Trump,3610
231,NE31033,100.0,Hillary Clinton,702
232,NE31031,100.0,Donald Trump,2623
233,NE31031,100.0,Hillary Clinton,317
234,TX48363,100.0,Donald Trump,8222
235,TX48363,100.0,Hillary Clinton,1700
236,VA51640,100.0,Donald Trump,1603
237,VA51640,100.0,Hillary Clinton,680
238,NE31039,100.0,Donald Trump,3095
239,NE31039,100.0,Hillary Clinton,712
240,GA13297,100.0,Donald Trump,31093
241,GA13297,100.0,Hillary Clinton,8279
242,VA51137,100.0,Donald Trump,10511
243,VA51137,100.0,Hillary Clinton,5955
244,TX48367,100.0,Donald Trump,46433
245,TX48367,100.0,Hillary Clinton,8329
246,FL12049,100.0,Donald Trump,5238
247,FL12049,100.0,Hillary Clinton,2147
248,FL12043,100.0,Donald Trump,2996
249,FL12043,100.0,Hillary Clinton,1271
250,FL12041,100.0,Donald Trump,6740
251,FL12041,100.0,Hillary Clinton,1457
252,FL12047,100.0,Donald Trump,3439
253,FL12047,100.0,Hillary Clinton,1899
254,FL12045,100.0,Donald Trump,5320
255,FL12045,100.0,Hillary Clinton,1715
256,SD46035,100.0,Donald Trump,5157
257,SD46035,100.0,Hillary Clinton,2355
258,ND38049,100.0,Donald Trump,1991
259,ND38049,100.0,Hillary Clinton,474
260,PA42069,100.0,Hillary Clinton,51593
261,PA42069,100.0,Donald Trump,48102
262,NC37179,100.0,Donald Trump,66265
263,NC37179,100.0,Hillary Clinton,34051
264,NC37177,100.0,Donald Trump,968
265,NC37177,100.0,Hillary Clinton,705
266,NC37175,100.0,Donald Trump,10441
267,NC37175,100.0,Hillary Clinton,6520
268,NC37173,100.0,Donald Trump,3557
269,NC37173,100.0,Hillary Clinton,2186
270,NC37171,100.0,Donald Trump,23495
271,NC37171,100.0,Hillary Clinton,7438
272,WIWI,100.0,Donald Trump,1403694
273,WIWI,100.0,Hillary Clinton,1380823
274,FL12133,100.0,Donald Trump,8630
275,FL12133,100.0,Hillary Clinton,2261
276,FL12131,100.0,Donald Trump,25695
277,FL12131,100.0,Hillary Clinton,6861
278,MI26049,100.0,Hillary Clinton,102744
279,MI26049,100.0,Donald Trump,84174
280,KS20147,100.0,Donald Trump,2200
281,KS20147,100.0,Hillary Clinton,296
282,OK40119,100.0,Donald Trump,16644
283,OK40119,100.0,Hillary Clinton,8785
284,KS20145,100.0,Donald Trump,1872
285,KS20145,100.0,Hillary Clinton,567
286,KS20143,100.0,Donald Trump,2261
287,KS20143,100.0,Hillary Clinton,424
288,KS20141,100.0,Donald Trump,1437
289,KS20141,100.0,Hillary Clinton,231
290,GA13153,100.0,Donald Trump,35351
291,GA13153,100.0,Hillary Clinton,22460
292,OK40111,100.0,Donald Trump,8926
293,OK40111,100.0,Hillary Clinton,4379
294,OK40117,100.0,Donald Trump,4716
295,OK40117,100.0,Hillary Clinton,1341
296,OK40115,100.0,Donald Trump,7627
297,OK40115,100.0,Hillary Clinton,2584
298,KS20149,100.0,Donald Trump,7451
299,KS20149,100.0,Hillary Clinton,2191
300,GA13293,100.0,Donald Trump,7288
301,GA13293,100.0,Hillary Clinton,3471
302,MO29009,100.0,Donald Trump,11427
303,MO29009,100.0,Hillary Clinton,2710
304,KY21161,100.0,Donald Trump,4944
305,KY21161,100.0,Hillary Clinton,1970
306,TX48385,100.0,Donald Trump,1382
307,TX48385,100.0,Hillary Clinton,262
308,KY21163,100.0,Donald Trump,8660
309,KY21163,100.0,Hillary Clinton,3026
310,TX48387,100.0,Donald Trump,3924
311,TX48387,100.0,Hillary Clinton,1148
312,IL17137,100.0,Donald Trump,9060
313,IL17137,100.0,Hillary Clinton,4693
314,KY21165,100.0,Donald Trump,2010
315,KY21165,100.0,Hillary Clinton,700
316,TX48381,100.0,Donald Trump,43379
317,TX48381,100.0,Hillary Clinton,8340
318,OK40027,100.0,Donald Trump,62469
319,OK40027,100.0,Hillary Clinton,38790
320,OK40025,100.0,Donald Trump,962
321,OK40025,100.0,Hillary Clinton,70
322,IL17135,100.0,Donald Trump,8616
323,IL17135,100.0,Hillary Clinton,3490
324,OK40023,100.0,Donald Trump,4202
325,OK40023,100.0,Hillary Clinton,1064
326,KY21167,100.0,Donald Trump,7740
327,KY21167,100.0,Hillary Clinton,2395
328,OK40021,100.0,Donald Trump,9992
329,OK40021,100.0,Hillary Clinton,5455
330,TX48383,100.0,Donald Trump,709
331,TX48383,100.0,Hillary Clinton,167
332,OK40029,100.0,Donald Trump,1892
333,OK40029,100.0,Hillary Clinton,411
334,IL17133,100.0,Donald Trump,12614
335,IL17133,100.0,Hillary Clinton,5522
336,TN47075,100.0,Hillary Clinton,3704
337,TN47075,100.0,Donald Trump,3010
338,IL17131,100.0,Donald Trump,4800
339,IL17131,100.0,Hillary Clinton,3061
340,TX48221,100.0,Donald Trump,21367
341,TX48221,100.0,Hillary Clinton,4001
342,AR05003,100.0,Donald Trump,5338
343,AR05003,100.0,Hillary Clinton,2408
344,AR05001,100.0,Donald Trump,3825
345,AR05001,100.0,Hillary Clinton,1939
346,AR05007,100.0,Donald Trump,60751
347,AR05007,100.0,Hillary Clinton,27894
348,AR05005,100.0,Donald Trump,14655
349,AR05005,100.0,Hillary Clinton,4163
350,MO29015,100.0,Donald Trump,7212
351,MO29015,100.0,Hillary Clinton,2024
352,TX48227,100.0,Donald Trump,6635
353,TX48227,100.0,Hillary Clinton,1768
354,AR05009,100.0,Donald Trump,12225
355,AR05009,100.0,Hillary Clinton,2925
356,MO29011,100.0,Donald Trump,4958
357,MO29011,100.0,Hillary Clinton,795
358,MO29013,100.0,Donald Trump,6000
